time,speed,throttle
3362346,0.0,70.0
3474784,0.0,70.0
3584224,0.0,70.0
3771890,202.1484375,70.0
3967465,1652.34375,70.0
4171096,5677.734375,70.0
4366333,13517.578124999998,70.0
4562643,25461.9140625,70.0
4762370,41000.9765625,70.0
4963641,58649.41406249999,70.0
5160405,76763.671875,70.0
5362076,94025.390625,70.0
5569870,110074.21874999999,70.0
5762291,124954.1015625,70.0
5966150,138752.9296875,70.0
6161860,138752.9296875,70.0
6363910,151558.59375,70.0
6563136,163406.25,70.0
6764107,174392.578125,70.0
6967439,184491.2109375,70.0
7164074,193728.515625,70.0
7363370,201919.921875,70.0
7572932,208854.4921875,70.0
7778337,214180.66406249997,70.0
7966516,217564.45312499997,70.0
8165947,219260.74218749997,70.0
8365289,219357.42187499997,70.0
8567891,218425.78124999997,70.0
8769515,216782.22656249997,70.0
8974476,214892.57812499997,70.0
9166545,212941.40624999997,70.0
9364957,211095.703125,70.0
9566738,209399.4140625,70.0
9765902,208037.109375,70.0
9969290,206876.953125,70.0
10165171,205998.046875,70.0
10366594,205426.7578125,70.0
10566743,205426.7578125,70.0
10766575,205180.6640625,70.0
10971819,205233.3984375,70.0
11177203,205488.28125,70.0
11384296,205936.5234375,70.0
11570671,206472.65625,70.0
11765301,207087.890625,70.0
11961914,207624.0234375,70.0
12158918,208089.84375,70.0
12364185,208423.828125,70.0
12558698,208661.1328125,70.0
12766012,208766.6015625,70.0
12964748,208784.1796875,70.0
13161991,208713.8671875,70.0
13363838,208634.765625,70.0
13566051,208529.296875,70.0
13763256,208388.671875,70.0
13967699,208248.046875,70.0
14165172,208116.2109375,70.0
14364321,208010.7421875,70.0
14562309,208010.7421875,70.0
14769427,207905.2734375,70.0
14967138,207843.75,70.0
15164052,207843.75,70.0
15366877,207870.1171875,70.0
15573705,207878.90625,70.0
15771142,207914.0625,70.0
15976839,207940.4296875,70.0
16171854,207993.1640625,70.0
16372043,207993.1640625,70.0
16570224,208019.53125,70.0
16771796,208028.3203125,70.0
16965386,208063.4765625,70.0
17161226,208063.4765625,70.0
17363997,208072.265625,70.0
17566977,208072.265625,70.0
17780305,208072.265625,70.0
17965048,208054.6875,70.0
18162862,208037.109375,70.0
18367353,208037.109375,70.0
18563735,208054.6875,70.0
18769282,208045.8984375,70.0
18962683,208045.8984375,70.0
19182864,208054.6875,70.0
19369978,208037.109375,70.0
19566737,208037.109375,70.0
19770746,208037.109375,70.0
19967606,208045.8984375,70.0
20169557,208045.8984375,70.0
20359013,208072.265625,70.0
20564193,208072.265625,70.0
20767417,208063.4765625,70.0
20958422,208054.6875,70.0
21161237,208037.109375,70.0
21365251,208045.8984375,70.0
21572098,208028.3203125,70.0
21775030,208028.3203125,70.0
21961705,208028.3203125,70.0
22162686,208028.3203125,70.0
22359684,208010.7421875,70.0
22563369,208001.953125,70.0
22769644,207993.1640625,70.0
22967240,208010.7421875,70.0
23167553,208010.7421875,70.0
23364434,208010.7421875,70.0
23570605,208019.53125,70.0
23778792,208019.53125,70.0
23961670,208028.3203125,70.0
24161968,208019.53125,70.0
24363579,208010.7421875,70.0
24563917,208001.953125,70.0
24760745,208010.7421875,70.0
24964903,208019.53125,70.0
25163372,208010.7421875,70.0
25366523,208010.7421875,70.0
25562501,208019.53125,70.0
25786603,208028.3203125,70.0
25965896,208028.3203125,70.0
26171528,208010.7421875,70.0
26362164,208028.3203125,70.0
26562310,208019.53125,70.0
26767235,208001.953125,70.0
26966871,207993.1640625,70.0
27160388,207993.1640625,70.0
27364175,207975.5859375,70.0
27565372,207975.5859375,70.0
27773429,207949.21875,70.0
27970414,207949.21875,70.0
28165887,207958.0078125,70.0
28366088,207966.796875,70.0
28570110,207949.21875,70.0
28772507,207949.21875,70.0
28972318,207949.21875,70.0
29163511,207966.796875,70.0
29364504,207958.0078125,70.0
29567232,207958.0078125,70.0
29760591,207949.21875,70.0
29961943,207949.21875,70.0
30159839,207931.640625,70.0
30367533,207922.8515625,70.0
30567295,207914.0625,70.0
30769367,207931.640625,70.0
30958245,207922.8515625,70.0
31165983,207922.8515625,70.0
31362061,207922.8515625,70.0
31564366,207922.8515625,70.0
31773586,207922.8515625,70.0
31964354,207914.0625,70.0
32167031,207896.484375,70.0
32366119,207887.6953125,70.0
32565828,207878.90625,70.0
32776299,207870.1171875,70.0
33067477,207852.5390625,70.0
33224876,207852.5390625,70.0
33360731,207852.5390625,70.0
33563981,207870.1171875,70.0
33771180,207861.328125,70.0
33970055,207878.90625,70.0
34167104,207896.484375,70.0
34360571,207922.8515625,70.0
34560601,207914.0625,70.0
34761116,207922.8515625,70.0
34967459,207931.640625,70.0
35169624,207949.21875,70.0
35360690,207931.640625,70.0
35563933,207931.640625,70.0
35760423,207931.640625,70.0
35960654,207940.4296875,70.0
36162693,207949.21875,70.0
36360656,207914.0625,70.0
36560162,207263.671875,70.0
36762833,204767.578125,70.0
36962282,199907.2265625,70.0
37163225,192832.03125,70.0
37360542,185018.5546875,70.0
37564125,178303.7109375,70.0
37765042,174735.3515625,70.0
37967096,175394.53125,70.0
38164098,179666.015625,70.0
38364168,186134.765625,70.0
38564030,193631.8359375,70.0
38770610,200988.28125,70.0
38965332,207439.453125,70.0
39164821,212501.953125,70.0
39364939,215797.85156249997,70.0
39564982,217529.29687499997,70.0
39771341,217924.80468749997,70.0
39964160,217924.80468749997,70.0
40162434,217397.46093749997,70.0
40366053,216228.51562499997,70.0
40570140,214769.53124999997,70.0
40769453,213187.49999999997,70.0
40967950,211535.15625,70.0
41164738,209891.6015625,70.0
41373370,208538.0859375,70.0
41565667,207483.3984375,70.0
41767697,206666.015625,70.0
41965328,206094.7265625,70.0
42164048,205787.109375,70.0
42369506,205690.4296875,70.0
42566715,205804.6875,70.0
42765989,206059.5703125,70.0
42970072,206499.0234375,70.0
43167737,206894.53125,70.0
43365686,207333.984375,70.0
43564816,207720.703125,70.0
43767546,208063.4765625,70.0
43972719,208300.78125,70.0
44182610,208467.7734375,70.0
44366896,208467.7734375,70.0
44565839,208538.0859375,70.0
44769656,208564.453125,70.0
44970581,208538.0859375,70.0
45169966,208467.7734375,70.0
45370667,208371.09375,70.0
45569901,208248.046875,70.0
45772309,208160.15625,70.0
45973286,208054.6875,70.0
46169880,207958.0078125,70.0
46372322,207870.1171875,70.0
46571510,207826.171875,70.0
46775117,207791.015625,70.0
46973651,207755.859375,70.0
47169978,207747.0703125,70.0
47361140,207773.4375,70.0
47566444,207799.8046875,70.0
47935353,207808.59375,70.0
48028349,207843.75,70.0
48160708,207843.75,70.0
48371351,207887.6953125,70.0
48563664,207914.0625,70.0
48788711,207905.2734375,70.0
48970808,207896.484375,70.0
49176107,207914.0625,70.0
49362952,207922.8515625,70.0
49561717,207922.8515625,70.0
49799126,207940.4296875,70.0
49964522,207940.4296875,70.0
50161126,207931.640625,70.0
50392257,207905.2734375,70.0
50560158,207914.0625,70.0
50776339,207914.0625,70.0
50977275,207931.640625,70.0
51162149,207905.2734375,70.0
51405229,207896.484375,70.0
51563911,207887.6953125,70.0
51764343,207905.2734375,70.0
51966797,207914.0625,70.0
52160935,207914.0625,70.0
52362202,207914.0625,70.0
52561899,207914.0625,70.0
52765500,207922.8515625,70.0
52976887,207896.484375,70.0
53165674,207887.6953125,70.0
53365727,207896.484375,70.0
53567225,207931.640625,70.0
53771527,207922.8515625,70.0
53975072,207931.640625,70.0
54166719,207931.640625,70.0
54367495,207940.4296875,70.0
54568004,207940.4296875,70.0
54771713,207931.640625,70.0
54972058,207931.640625,70.0
55167963,207940.4296875,70.0
55367166,207931.640625,70.0
55571906,207940.4296875,70.0
55771323,207940.4296875,70.0
55964244,207958.0078125,70.0
56161416,207949.21875,70.0
56364776,207940.4296875,70.0
56564866,207940.4296875,70.0
56767438,207914.0625,70.0
56964329,207896.484375,70.0
57165006,207896.484375,70.0
57383817,207878.90625,70.0
57566968,207878.90625,70.0
57770981,207870.1171875,70.0
57965326,207870.1171875,70.0
58165559,207843.75,70.0
58364683,207852.5390625,70.0
58565113,207843.75,70.0
58764801,207826.171875,70.0
58963993,207729.4921875,70.0
59170693,207624.0234375,70.0
59365809,207439.453125,70.0
59567607,206701.171875,70.0
59771900,204503.90625,70.0
59970144,200970.703125,70.0
60160920,196602.5390625,70.0
60363412,192585.9375,70.0
60562809,192585.9375,70.0
60764203,189949.21875,70.0
60963255,189562.5,70.0
61167121,191460.9375,70.0
61366997,194835.9375,70.0
61565020,198703.125,70.0
61772093,202570.3125,70.0
61976559,206165.0390625,70.0
62165705,209056.640625,70.0
62364698,211095.703125,70.0
62564708,212176.7578125,70.0
62775926,212598.63281249997,70.0
62965429,212598.63281249997,70.0
63164049,212247.0703125,70.0
63366439,211746.09375,70.0
63572133,211139.6484375,70.0
63767331,210392.578125,70.0
63965713,209557.6171875,70.0
64167762,208722.65625,70.0
64363008,208072.265625,70.0
64575259,207518.5546875,70.0
64785083,207123.046875,70.0
64971066,207123.046875,70.0
65166261,206833.0078125,70.0
65362846,206683.59375,70.0
65580087,206630.859375,70.0
65774442,206692.3828125,70.0
65970741,206824.21875,70.0
66167868,207017.578125,70.0
66399040,207237.3046875,70.0
66560548,207483.3984375,70.0
66758609,207685.546875,70.0
66960581,207870.1171875,70.0
67156055,207975.5859375,70.0
